Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Unit,Desired Direction
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2018,US,1416232,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2010,Bullhead City,1020,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2010,AZ,271892,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2010,US,15041337,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2011,Bullhead City,1053,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2011,AZ,272565,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2011,US,15224255,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2012,Bullhead City,877,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2012,AZ,272214,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2012,US,15348288,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2013,Bullhead City,1026,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2013,AZ,275127,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2013,US,15422749,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2014,Bullhead City,877,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2014,AZ,276986,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2014,US,15597761,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2015,Bullhead City,947,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2015,AZ,279094,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2015,US,15794307,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2016,Bullhead City,924,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2016,AZ,287387,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2016,US,16043993,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2017,Bullhead City,932,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2017,AZ,294446,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2017,US,16356217,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2018,Bullhead City,858,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2018,AZ,299917,people,high
S2401_C01_010E,American Community Survey,Income,"Education, legal, community service, arts, and media occupations",,2018,US,16589936,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2010,Bullhead City,86,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2010,AZ,47449,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2010,US,2311549,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2011,Bullhead City,94,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2011,AZ,48042,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2011,US,2346284,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2012,Bullhead City,63,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2012,AZ,46962,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2012,US,2357690,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2013,Bullhead City,77,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2013,AZ,47370,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2013,US,2360085,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2014,Bullhead City,103,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2014,AZ,48725,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2014,US,2399283,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2015,Bullhead City,104,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2015,AZ,50089,people,high
S2401_C01_011E,American Community Survey,Income,Community and social service occupations,,2015,US,2445528,people,high
