Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Unit
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2014,US,"
39.0",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2015,CA-24,"
37.2",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2015,CA,"
37.4",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2015,US,"
39.1",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2016,CA-24,"
37.1",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2016,CA,"
37.5",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2016,US,"
39.2",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2017,CA-24,"
37.5",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2017,CA,"
37.8",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2017,US,"
39.4",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2018,CA-24,"
37.7",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2018,CA,"
37.9",years
B01002_003E,American Community Survey,Demographics,Median Age of Female Population,Median age across the full female population.,2018,US,"
39.6",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2008,CA-24,"
43.9",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2008,CA,"
41.9",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2008,US,"
40.8",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2009,CA-24,"
43.0",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2009,CA,"
42.5",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2009,US,"
41.1",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2010,CA-24,"
43.5",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2010,CA,"
43.0",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2010,US,"
41.4",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2011,CA-24,"
44.9",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2011,CA,"
43.8",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2011,US,"
42.1",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2012,CA-24,"
41.4",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2012,CA,"
44.4",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2012,US,"
42.6",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2013,CA-24,"
41.9",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2013,CA,"
45.1",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2013,US,"
43.1",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2014,CA-24,"
41.1",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2014,CA,"
45.7",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2014,US,"
43.5",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2015,CA-24,"
42.2",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2015,CA,"
46.1",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2015,US,"
43.9",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2016,CA-24,"
42.4",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2016,CA,"
46.7",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2016,US,"
44.4",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2017,CA-24,"
43.9",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2017,CA,"
47.4",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2017,US,"
44.8",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2018,CA-24,"
43.8",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2018,CA,"
48.0",years
B06002_005E,American Community Survey,Demographics,Median Age of foreign born,Median age of people who were born in foreign land as non-US citizen,2018,US,"
45.2",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2008,CA-24,"
42.0",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2008,CA,"
39.1",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2008,US,"
39.9",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2009,CA-24,"
42.2",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2009,CA,"
39.6",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2009,US,"
40.0",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2010,CA-24,"
42.2",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2010,CA,"
39.8",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2010,US,"
40.4",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2011,CA-24,"
42.6",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2011,CA,"
39.9",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2011,US,"
40.5",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2012,CA-24,"
38.1",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2012,CA,"
39.9",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2012,US,"
40.4",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2013,CA-24,"
37.5",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2013,CA,"
39.8",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2013,US,"
40.3",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2014,CA-24,"
37.4",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2014,CA,"
39.7",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2014,US,"
40.2",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2015,CA-24,"
37.0",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2015,CA,"
39.6",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2015,US,"
40.0",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2016,CA-24,"
36.7",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2016,CA,"
39.4",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2016,US,"
39.8",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2017,CA-24,"
36.8",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2017,CA,"
39.3",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2017,US,"
39.7",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2018,CA-24,"
36.6",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2018,CA,"
39.2",years
B23013_001E,American Community Survey,Demographics,Median Age of Workers,Median age across the workers 16 and 64 years of age.,2018,US,"
39.6",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2008,CA-24,"
42.2",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2008,CA,"
38.9",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2008,US,"
39.6",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2009,CA-24,"
41.9",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2009,CA,"
39.3",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2009,US,"
39.8",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2010,CA-24,"
42.2",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2010,CA,"
39.6",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2010,US,"
40.3",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2011,CA-24,"
42.4",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2011,CA,"
39.7",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2011,US,"
40.3",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2012,CA-24,"
37.7",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2012,CA,"
39.6",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2012,US,"
40.3",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2013,CA-24,"
37.6",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2013,CA,"
39.7",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2013,US,"
40.2",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2014,CA-24,"
37.1",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2014,CA,"
39.6",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2014,US,"
40.1",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2015,CA-24,"
37.2",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2015,CA,"
39.5",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2015,US,"
39.9",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2016,CA-24,"
36.4",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2016,CA,"
39.4",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2016,US,"
39.7",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2017,CA-24,"
36.7",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2017,CA,"
39.3",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2017,US,"
39.6",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2018,CA-24,"
36.5",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2018,CA,"
39.1",years
B23013_002E,American Community Survey,Demographics,Median Age of Male Workers,Median age across the male workers 16 and 64 years of age.,2018,US,"
39.6",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2008,CA-24,"
41.7",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2008,CA,"
39.4",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2008,US,"
40.1",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2009,CA-24,"
42.6",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2009,CA,"
39.8",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2009,US,"
40.2",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2010,CA-24,"
42.1",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2010,CA,"
40.0",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2010,US,"
40.5",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2011,CA-24,"
42.7",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2011,CA,"
40.2",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2011,US,"
40.7",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2012,CA-24,"
38.5",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2012,CA,"
40.2",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2012,US,"
40.6",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2013,CA-24,"
37.2",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2013,CA,"
40.0",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2013,US,"
40.5",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2014,CA-24,"
37.7",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2014,CA,"
39.8",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2014,US,"
40.3",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2015,CA-24,"
36.9",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2015,CA,"
39.7",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2015,US,"
40.1",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2016,CA-24,"
37.1",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2016,CA,"
39.4",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2016,US,"
39.9",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2017,CA-24,"
36.9",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2017,CA,"
39.3",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2017,US,"
39.8",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2018,CA-24,"
36.8",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2018,CA,"
39.2",years
B23013_003E,American Community Survey,Demographics,Median Age of Female Workers,Median age across the female workers 16 and 64 years of age.,2018,US,"
39.6",years
B25058_001E,American Community Survey,Housing,Median Contract Rent,Median contract rent,2008,CA-24,"
1341",USD ($)
B25058_001E,American Community Survey,Housing,Median Contract Rent,Median contract rent,2008,CA,"
1035",USD ($)
B25058_001E,American Community Survey,Housing,Median Contract Rent,Median contract rent,2008,US,"
687",USD ($)
B25058_001E,American Community Survey,Housing,Median Contract Rent,Median contract rent,2009,CA-24,"
1334",USD ($)
B25058_001E,American Community Survey,Housing,Median Contract Rent,Median contract rent,2009,CA,"
1058",USD ($)
B25058_001E,American Community Survey,Housing,Median Contract Rent,Median contract rent,2009,US,"
702",USD ($)
